edits	edit_fraction	reads	read_fraction	gbp	gbp_fraction
0	0	8078	100	42266984	100
10	.0526814800	8071	99.9133448800	42227388	99.9063193100
20	.1053629700	8070	99.9009655800	42226662	99.9046016600
30	.1580444600	8071	99.9133448800	42226711	99.9047175900
40	.2107259500	8070	99.9009655800	42226973	99.9053374600
50	.2634074300	8068	99.8762069800	42218348	99.8849314600
60	.3160889200	8069	99.8885862800	42220757	99.8906309400
70	.3687704100	8066	99.8514483700	42217893	99.8838549700
80	.4214519000	8066	99.8514483700	42212063	99.8700617000
90	.4741333800	8066	99.8514483700	42225360	99.9015212400
100	.5268148700	8066	99.8514483700	42224419	99.8992949200
110	.5794963600	8063	99.8143104700	42219039	99.8865663000
120	.6321778500	8062	99.8019311700	42210285	99.8658551000
130	.6848593400	8065	99.8390690700	42216959	99.8816452100
140	.7375408200	8064	99.8266897700	42217177	99.8821609700
150	.7902223100	8064	99.8266897700	42214139	99.8749733300
160	.8429038000	8061	99.7895518600	42209593	99.8642178900
170	.8955852900	8056	99.7276553600	42213922	99.8744599300
180	.9482667700	8065	99.8390690700	42226868	99.9050890400
190	1.0009482600	8060	99.7771725600	42203819	99.8505571100
200	1.0536297500	8060	99.7771725600	42211838	99.8695293700
210	1.1063112400	8060	99.7771725600	42207074	99.8582581600
220	1.1589927200	8054	99.7028967500	42207096	99.8583102100
230	1.2116742100	8057	99.7400346600	42207549	99.8593819700
240	1.2643557000	8054	99.7028967500	42209299	99.8635223100
250	1.3170371900	8047	99.6162416400	42196113	99.8323253900
260	1.3697186800	8061	99.7895518600	42223336	99.8967326300
270	1.4224001600	8055	99.7152760500	42204727	99.8527053600
280	1.4750816500	8046	99.6038623400	42212705	99.8715806100
290	1.5277631400	8058	99.7524139600	42227490	99.9065606300
300	1.5804446300	8056	99.7276553600	42193823	99.8269074500
310	1.6331261100	8045	99.5914830400	42188880	99.8152127400
320	1.6858076000	8051	99.6657588500	42211445	99.8685995600
330	1.7384890900	8046	99.6038623400	42184731	99.8053965700
340	1.7911705800	8045	99.5914830400	42195003	99.8296992200
350	1.8438520700	8044	99.5791037300	42196198	99.8325264900
360	1.8965335500	8047	99.6162416400	42206614	99.8571698400
370	1.9492150400	8045	99.5914830400	42198174	99.8372015300
380	2.0018965300	8050	99.6533795400	42208542	99.8617313200
390	2.0545780200	8043	99.5667244300	42175734	99.7841104500
400	2.1072595000	8047	99.6162416400	42198141	99.8371234600
410	2.1599409900	8038	99.5048279200	42183906	99.8034446900
420	2.2126224800	8027	99.3686556000	42162028	99.7516832500
430	2.2653039700	8030	99.4057935100	42166771	99.7629047700
440	2.3179854500	8033	99.4429314100	42179292	99.7925283700
450	2.3706669400	8036	99.4800693200	42150944	99.7254594700
460	2.4233484300	8034	99.4553107200	42160896	99.7490050300
470	2.4760299200	8027	99.3686556000	42177075	99.7872831400
480	2.5287114100	8026	99.3562763000	42158501	99.7433386700
490	2.5813928900	8013	99.1953453800	42145549	99.7126953700
500	2.6340743800	8029	99.3934142100	42180819	99.7961411200
510	2.6867558700	8014	99.2077246800	42125751	99.6658550300
520	2.7394373600	8028	99.3810349000	42166142	99.7614166100
530	2.7921188400	8025	99.3438970000	42145137	99.7117206100
540	2.8448003300	8021	99.2943797900	42147986	99.7184611000
550	2.8974818200	8023	99.3191384000	42159030	99.7445902400
560	2.9501633100	8003	99.0715523600	42123290	99.6600325200
570	3.0028448000	8021	99.2943797900	42158767	99.7439680100
580	3.0555262800	8013	99.1953453800	42155534	99.7363190100
590	3.1082077700	8016	99.2324832800	42132558	99.6819598000
600	3.1608892600	8003	99.0715523600	42121882	99.6567013100
610	3.2135707500	8007	99.1210695700	42130456	99.6769866500
620	3.2662522300	8020	99.2820004900	42151763	99.7273971500
630	3.3189337200	8005	99.0963109600	42112178	99.6337424900
640	3.3716152100	8001	99.0467937600	42115460	99.6415074200
650	3.4242967000	8006	99.1086902600	42139991	99.6995456300
660	3.4769781800	8005	99.0963109600	42128984	99.6735040200
670	3.5296596700	7998	99.0096558500	42116962	99.6450610200
680	3.5823411600	7990	98.9106214400	42101125	99.6075920600
690	3.6350226500	7997	98.9972765500	42092884	99.5880945700
700	3.6877041400	8000	99.0344144500	42101099	99.6075305400
710	3.7403856200	7987	98.8734835300	42070841	99.5359427500
720	3.7930671100	7994	98.9601386400	42127587	99.6701988400
730	3.8457486000	7991	98.9230007400	42084049	99.5671917300
740	3.8984300900	7998	99.0096558500	42133888	99.6851064600
750	3.9511115700	7973	98.7001733100	42043005	99.4700852000
760	4.0037930600	7981	98.7992077200	42084572	99.5684291000
770	4.0564745500	7979	98.7744491200	42061084	99.5128585400
780	4.1091560400	7984	98.8363456300	42062606	99.5164594600
790	4.1618375300	7989	98.8982421300	42099323	99.6033286800
800	4.2145190100	7988	98.8858628300	42083872	99.5667729600
810	4.2672005000	7984	98.8363456300	42073842	99.5430428600
820	4.3198819900	7970	98.6630354000	42060306	99.5110178600
830	4.3725634800	7964	98.5887595900	42062346	99.5158443200
840	4.4252449600	7962	98.5640009900	42065458	99.5232070400
850	4.4779264500	7972	98.6877940000	42059839	99.5099129800
860	4.5306079400	7941	98.3040356500	42000275	99.3689897500
870	4.5832894300	7951	98.4278286700	42049164	99.4846568600
880	4.6359709100	7935	98.2297598400	41988429	99.3409631400
890	4.6886524000	7947	98.3783114600	42027378	99.4331130800
900	4.7413338900	7953	98.4525872700	42003973	99.3777388900
910	4.7940153800	7944	98.3411735500	42008879	99.3893460600
920	4.8466968700	7921	98.0564496100	41944657	99.2374024100
930	4.8993783500	7923	98.0812082100	41982556	99.3270681400
940	4.9520598400	7938	98.2668977400	41984356	99.3313267800
950	5.0047413300	7927	98.1307254200	42000506	99.3695362700
960	5.0574228200	7916	97.9945531000	41967263	99.2908862300
970	5.1101043000	7944	98.3411735500	42052561	99.4926938700
980	5.1627857900	7955	98.4773458700	42024764	99.4269285900
990	5.2154672800	7928	98.1431047200	41969815	99.2969240400
1000	5.2681487700	7914	97.9697945000	41981015	99.3234222700
1010	5.3208302600	7936	98.2421391400	42022975	99.4226959700
1020	5.3735117400	7930	98.1678633300	41978937	99.3185059000
1030	5.4261932300	7912	97.9450358900	41966812	99.2898192100
1040	5.4788747200	7900	97.7964842700	41865074	99.0491159700
1050	5.5315562100	7925	98.1059668200	41988830	99.3419118800
1060	5.5842376900	7881	97.5612775400	41864819	99.0485126600
1070	5.6369191800	7909	97.9078979900	41925722	99.1926038500
1080	5.6896006700	7899	97.7841049700	41953828	99.2591001900
1090	5.7422821600	7870	97.4251052200	41844849	99.0012653800
1100	5.7949636400	7910	97.9202772900	41953309	99.2578722900
1110	5.8476451300	7882	97.5736568400	41888058	99.1034941100
1120	5.9003266200	7899	97.7841049700	41919337	99.1774975000
1130	5.9530081100	7866	97.3755880100	41857267	99.0306452900
1140	6.0056896000	7867	97.3879673100	41837441	98.9837387000
1150	6.0583710800	7890	97.6726912600	41919844	99.1786970100
1160	6.1110525700	7905	97.8583807800	41900519	99.1329757500
1170	6.1637340600	7855	97.2394156900	41800411	98.8961289500
1180	6.2164155500	7882	97.5736568400	41811045	98.9212880600
1190	6.2690970300	7868	97.4003466200	41812226	98.9240822100
1200	6.3217785200	7838	97.0289675600	41816146	98.9333565800
1210	6.3744600100	7883	97.5860361400	41859695	99.0363897200
1220	6.4271415000	7876	97.4993810300	41829066	98.9639241800
1230	6.4798229900	7871	97.4374845200	41823607	98.9510086600
1240	6.5325044700	7818	96.7813815300	41751106	98.7794776100
1250	6.5851859600	7845	97.1156226700	41812288	98.9242288900
1260	6.6378674500	7829	96.9175538400	41724487	98.7164993800
1270	6.6905489400	7852	97.2022777900	41782365	98.8534336800
1280	6.7432304200	7831	96.9423124500	41763729	98.8093425300
1290	6.7959119100	7839	97.0413468600	41774067	98.8338013400
1300	6.8485934000	7815	96.7442436200	41753582	98.7853356100
1310	6.9012748900	7815	96.7442436200	41737294	98.7467996200
1320	6.9539563700	7801	96.5709333900	41750903	98.7789973300
1330	7.0066378600	7814	96.7318643200	41707518	98.6763522000
1340	7.0593193500	7811	96.6947264100	41697238	98.6520306200
1350	7.1120008400	7781	96.3233473600	41630292	98.4936422200
1360	7.1646823300	7786	96.3852438700	41672824	98.5942692200
1370	7.2173638100	7774	96.2366922500	41556781	98.3197216000
1380	7.2700453000	7784	96.3604852600	41630443	98.4939994700
1390	7.3227267900	7794	96.4842782800	41676580	98.6031555900
1400	7.3754082800	7785	96.3728645700	41610834	98.4476062900
1410	7.4280897600	7696	95.2711067000	41424387	98.0064889400
1420	7.4807712500	7819	96.7937608300	41695896	98.6488555700
1430	7.5334527400	7789	96.4223817700	41589748	98.3977186500
1440	7.5861342300	7771	96.1995543400	41597110	98.4151365000
1450	7.6388157200	7761	96.0757613200	41545555	98.2931618600
1460	7.6914972000	7759	96.0510027200	41583505	98.3829482600
1470	7.7441786900	7751	95.9519683000	41529208	98.2544862900
1480	7.7968601800	7700	95.3206239100	41485628	98.1513798000
1490	7.8495416700	7737	95.7786580800	41563014	98.3344683400
1500	7.9022231500	7740	95.8157959800	41594602	98.4092027900
1510	7.9549046400	7721	95.5805892500	41514061	98.2186498000
1520	8.0075861300	7711	95.4567962300	41484617	98.1489878700
1530	8.0602676200	7744	95.8653131900	41563257	98.3350432500
1540	8.1129491000	7720	95.5682099500	41527481	98.2504003500
1550	8.1656305900	7734	95.7415201700	41527309	98.2499934200
1560	8.2183120800	7670	94.9492448600	41448538	98.0636281000
1570	8.2709935700	7673	94.9863827600	41364295	97.8643165000
1580	8.3236750600	7727	95.6548650600	41534768	98.2676407600
1590	8.3763565400	7686	95.1473136900	41406676	97.9645862500
1600	8.4290380300	7721	95.5805892500	41494018	98.1712298100
1610	8.4817195200	7666	94.8997276500	41387531	97.9192908500
1620	8.5344010100	7652	94.7264174300	41348158	97.8261377700
1630	8.5870824900	7644	94.6273830100	41369039	97.8755403900
1640	8.6397639800	7675	95.0111413700	41419913	97.9959038400
1650	8.6924454700	7602	94.1074523300	41331155	97.7859101500
1660	8.7451269600	7651	94.7140381200	41392640	97.9313783000
1670	8.7978084500	7605	94.1445902400	41262763	97.6241006400
1680	8.8504899300	7630	94.4540727900	41334976	97.7949503000
1690	8.9031714200	7608	94.1817281500	41205471	97.4885527600
1700	8.9558529100	7555	93.5256251500	41168803	97.4017994700
1710	9.0085344000	7599	94.0703144300	41173666	97.4133049000
1720	9.0612158800	7482	92.6219361200	41025435	97.0626032800
1730	9.1138973700	7537	93.3027977200	41075722	97.1815779400
1740	9.1665788600	7642	94.6026244100	41362256	97.8594924100
1750	9.2192603500	7605	94.1445902400	41188453	97.4482896600
1760	9.2719418300	7598	94.0579351300	41266683	97.6333750200
1770	9.3246233200	7565	93.6494181700	41135966	97.3241099900
1780	9.3773048100	7602	94.1074523300	41189012	97.4496122000
1790	9.4299863000	7596	94.0331765200	41225220	97.5352771700
1800	9.4826677900	7628	94.4293141800	41213508	97.5075676000
1810	9.5353492700	7451	92.2381777600	40838691	96.6207832500
1820	9.5880307600	7462	92.3743500800	40915656	96.8028757300
1830	9.6407122500	7524	93.1418667900	41000871	97.0044870000
1840	9.6933937400	7415	91.7925229000	40803950	96.5385890700
1850	9.7460752200	7486	92.6714533300	40888285	96.7381183300
1860	9.7987567100	7545	93.4018321300	41189106	97.4498346000
1870	9.8514382000	7485	92.6590740200	40996641	96.9944791800
1880	9.9041196900	7476	92.5476603100	40801241	96.5321798200
1890	9.9568011800	7461	92.3619707800	40860387	96.6721141000
1900	10.0094826600	7405	91.6687298800	40774373	96.4686124700
1910	10.0621641500	7468	92.4486258900	40966945	96.9242210400
1920	10.1148456400	7446	92.1762812500	40862469	96.6770399300
1930	10.1675271300	7432	92.0029710300	40807395	96.5467396400
1940	10.2202086100	7452	92.2505570600	40825285	96.5890658200
1950	10.2728901000	7434	92.0277296300	40783880	96.4911052000
1960	10.3255715900	7509	92.9561772700	40986438	96.9703397800
1970	10.3782530800	7414	91.7801435900	40672983	96.2287325700
1980	10.4309345600	7289	90.2327308700	40468094	95.7439830500
1990	10.4836160500	7343	90.9012131700	40699342	96.2910956600
2000	10.5362975400	7387	91.4459024500	40736358	96.3786722900
2010	10.5889790300	7464	92.3991086900	40871695	96.6988678400
2020	10.6416605200	7391	91.4954196500	40789923	96.5054024200
2030	10.6943420000	7410	91.7306263900	40778460	96.4782819600
2040	10.7470234900	7404	91.6563505800	40624720	96.1145465200
2050	10.7997049800	7384	91.4087645400	40681350	96.2485281600
2060	10.8523864700	7334	90.7897994500	40553693	95.9465028300
2070	10.9050679500	7329	90.7279029400	40581616	96.0125662100
2080	10.9577494400	7356	91.0621440900	40525433	95.8796421300
2090	11.0104309300	7240	89.6261450800	40383784	95.5445129400
2100	11.0631124200	7316	90.5669720200	40463844	95.7339279200
2110	11.1157939100	7278	90.0965585500	40392618	95.5654134200
2120	11.1684753900	7270	89.9975241300	40325572	95.4067884200
2130	11.2211568800	7068	87.4969051700	39831052	94.2367972100
2140	11.2738383700	7277	90.0841792500	40330727	95.4189847000
2150	11.3265198600	7307	90.4555583000	40451057	95.7036750000
2160	11.3792013400	7269	89.9851448300	40364860	95.4997404100
2170	11.4318828300	7077	87.6083188900	39795905	94.1536424700
2180	11.4845643200	7223	89.4156969500	40250281	95.2286564800
2190	11.5372458100	7260	89.8737311200	40483087	95.7794551800
2200	11.5899272900	7242	89.6509036800	40247094	95.2211163200
2210	11.6426087800	7300	90.3689031900	40488551	95.7923825300
2220	11.6952902700	7071	87.5340430700	39920713	94.4489273200
2230	11.7479717600	7235	89.5642485700	40296939	95.3390452400
2240	11.8006532500	7223	89.4156969500	40166277	95.0299103400
2250	11.8533347300	7272	90.0222827400	40308762	95.3670174300
2260	11.9060162200	7250	89.7499381000	40199311	95.1080659000
2270	11.9586977100	7153	88.5491458200	39984916	94.6008260200
2280	12.0113792000	7147	88.4748700100	40015780	94.6738475500
2290	12.0640606800	7232	89.5271106700	40237570	95.1985833600
2300	12.1167421700	6961	86.1723198800	39565159	93.6077175500
2310	12.1694236600	7202	89.1557316100	40049141	94.7527767700
2320	12.2221051500	7101	87.9054221300	39846061	94.2723071900
2330	12.2747866300	6945	85.9742510500	39454675	93.3463220300
2340	12.3274681200	7093	87.8063877100	39867491	94.3230087100
2350	12.3801496100	7082	87.6702153900	39852395	94.2872928900
2360	12.4328311000	7194	89.0566972000	40051534	94.7584384000
2370	12.4855125900	7062	87.4226293600	39793817	94.1487024400
2380	12.5381940700	7009	86.7665263600	39683538	93.8877919400
2390	12.5908755600	7111	88.0292151500	40023635	94.6924318000
2400	12.6435570500	7179	88.8710076700	40108975	94.8943388000
2410	12.6962385400	6894	85.3429066600	39409156	93.2386280500
2420	12.7489200200	7037	87.1131468100	39735629	94.0110347100
2430	12.8016015100	7114	88.0663530500	39995147	94.6250316700
2440	12.8542830000	6886	85.2438722400	39226095	92.8055216800
2450	12.9069644900	6822	84.4515969200	39171159	92.6755478900
2460	12.9596459800	6981	86.4199059100	39544416	93.5586414200
2470	13.0123274600	6982	86.4322852100	39565930	93.6095416600
2480	13.0650089500	6923	85.7019064100	39342097	93.0799723000
2490	13.1176904400	6995	86.5932161400	39643460	93.7929708900
2500	13.1703719300	6924	85.7142857100	39399788	93.2164641700
2510	13.2230534100	6908	85.5162168800	39421193	93.2671065400
2520	13.2757349000	6971	86.2961128900	39546016	93.5624268800
2530	13.3284163900	6848	84.7734587700	39194106	92.7298384900
2540	13.3810978800	6853	84.8353552800	39210662	92.7690085400
2550	13.4337793600	6933	85.8256994300	39365614	93.1356114700
2560	13.4864608500	6841	84.6868036600	39245869	92.8523052400
2570	13.5391423400	6811	84.3154246100	39045327	92.3778403400
2580	13.5918238300	6475	80.1559792000	38110413	90.1659153100
2590	13.6445053200	6744	83.4860113800	38693466	91.5453678900
2600	13.6971868000	6818	84.4020797200	38935690	92.1184487600
2610	13.7498682900	6755	83.6221837000	38983309	92.2311111600
2620	13.8025497800	6732	83.3374597600	38751794	91.6833668500
2630	13.8552312700	6592	81.6043575100	38448622	90.9660883300
2640	13.9079127500	6524	80.7625649900	38460517	90.9942308600
2650	13.9605942400	6582	81.4805644900	38439210	90.9438203500
2660	14.0132757300	6604	81.7529091300	38380759	90.8055303800
2670	14.0659572200	6549	81.0720475300	38244052	90.4820935400
2680	14.1186387100	6675	82.6318395600	38586114	91.2913824100
2690	14.1713201900	6709	83.0527358200	38866853	91.9555864200
2700	14.2240016800	6609	81.8148056400	38420546	90.8996629600
2710	14.2766831700	6761	83.6964595100	38991154	92.2496717500
2720	14.3293646600	6738	83.4117355700	38787603	91.7680878200
2730	14.3820461400	6353	78.6457043800	37591281	88.9376942500
2740	14.4347276300	6242	77.2716018800	37227440	88.0768781600
2750	14.4874091200	6616	81.9014607500	38539869	91.1819707700
2760	14.5400906100	6485	80.2797722200	38199333	90.3762922800
2770	14.5927720900	6390	79.1037385400	37683798	89.1565814100
2780	14.6454535800	6471	80.1064619900	37974754	89.8449579400
2790	14.6981350700	6092	75.4147066100	37222546	88.0652993800
2800	14.7508165600	6386	79.0542213400	37796704	89.4237071600
2810	14.8034980500	6303	78.0267392900	37435779	88.5697900700
2820	14.8561795300	6511	80.6016340600	38101158	90.1440187900
2830	14.9088610200	6202	76.7764298000	37218854	88.0565644300
2840	14.9615425100	6178	76.4793265600	37393252	88.4691749000
2850	15.0142240000	6611	81.8395642400	38304736	90.6256665900
2860	15.0669054800	6450	79.8464966500	37890344	89.6452512400
2870	15.1195869700	6349	78.5961871700	37727737	89.2605372500
2880	15.1722684600	6236	77.1973260700	37497730	88.7163607400
2890	15.2249499500	6254	77.4201535000	37247937	88.1253722700
2900	15.2776314400	6296	77.9400841700	37395995	88.4756645900
2910	15.3303129200	6331	78.3733597400	37609707	88.9812885600
2920	15.3829944100	6076	75.2166377800	36861451	87.2109800800
2930	15.4356759000	6384	79.0294627300	37608198	88.9777184000
2940	15.4883573900	6102	75.5384996200	36827822	87.1314168000
2950	15.5410388700	6048	74.8700173300	36702435	86.8347620900
2960	15.5937203600	6343	78.5219113600	37642936	89.0599054800
2970	15.6464018500	6110	75.6375340400	36970731	87.4695270400
2980	15.6990833400	6369	78.8437732100	37344856	88.3546741800
2990	15.7517648200	6219	76.9868779400	36998851	87.5360565100
3000	15.8044463100	6225	77.0611537500	37132464	87.8521732200
3010	15.8571278000	6351	78.6209457700	37768456	89.3568748600
3020	15.9098092900	5671	70.2030205400	35351680	83.6389934900
3030	15.9624907800	5997	74.2386729300	36674730	86.7692144700
3040	16.0151722600	6075	75.2042584700	36782910	87.0251589200
3050	16.0678537500	5931	73.4216390100	36130642	85.4819496900
3060	16.1205352400	6143	76.0460510000	36997248	87.5322639500
3070	16.1732167300	6126	75.8356028700	36663071	86.7416302900
3080	16.2258982100	6149	76.1203268100	37104531	87.7860861800
3090	16.2785797000	5877	72.7531567200	35985627	85.1388568400
3100	16.3312611900	5757	71.2676405000	35728638	84.5308432700
3110	16.3839426800	5632	69.7202277700	35252372	83.4040394200
3120	16.4366241700	5940	73.5330527300	36282731	85.8417790100
3130	16.4893056500	5927	73.3721218100	36189372	85.6208997500
3140	16.5419871400	5723	70.8467442400	35912227	84.9651988400
3150	16.5946686300	6087	75.3528101000	36285758	85.8489406200
3160	16.6473501200	5651	69.9554345100	35055762	82.9388773000
3170	16.7000316000	5510	68.2099529500	34716895	82.1371475100
3180	16.7527130900	5923	73.3226046000	36034922	85.2554845100
3190	16.8053945800	5871	72.6788809100	35801497	84.7032213100
3200	16.8580760700	5792	71.7009160600	35752508	84.5873176000
3210	16.9107575500	5289	65.4741272500	34253526	81.0408568500
3220	16.9634390400	5487	67.9252290100	34849895	82.4518139200
3230	17.0161205300	5583	69.1136419900	35017668	82.8487502200
3240	17.0688020200	5527	68.4204010800	34675960	82.0402988700
3250	17.1214835100	5809	71.9113641900	35712444	84.4925296700
3260	17.1741649900	5417	67.0586778900	34573664	81.7982754500
3270	17.2268464800	5467	67.6776429800	34408439	81.4073675000
3280	17.2795279700	5666	70.1411240400	35268604	83.4424429200
3290	17.3322094600	5230	64.7437484500	34014846	80.4761607700
3300	17.3848909400	5701	70.5743996000	35192604	83.2626335400
3310	17.4375724300	5652	69.9678138100	35101552	83.0472124500
3320	17.4902539200	5147	63.7162664000	33418464	79.0651729400
3330	17.5429354100	5561	68.8412973500	34933386	82.6493463500
3340	17.5956169000	5385	66.6625402300	33887815	80.1756165000
3350	17.6482983800	5724	70.8591235400	35705867	84.4769690600
3360	17.7009798700	5507	68.1728150500	34402834	81.3941065600
3370	17.7536613600	5414	67.0215399800	34693690	82.0822465100
3380	17.8063428500	5222	64.6447140300	33697670	79.7257500000
3390	17.8590243300	5299	65.5979202700	33953600	80.3312580800
3400	17.9117058200	5534	68.5070562000	34797252	82.3272651700
3410	17.9643873100	5449	67.4548155400	34385973	81.3542149100
3420	18.0170688000	5514	68.2594701600	34673874	82.0353635800
3430	18.0697502800	5139	63.6172319800	33258559	78.6868516500
3440	18.1224317700	4736	58.6283733500	31843911	75.3399177900
3450	18.1751132600	5201	64.3847487000	33496440	79.2496573600
3460	18.2277947500	5478	67.8138153000	34469388	81.5515675300
3470	18.2804762400	4501	55.7192374300	31033886	73.4234692400
3480	18.3331577200	5247	64.9541965800	33616538	79.5337987600
3490	18.3858392100	5389	66.7120574300	33899519	80.2033071400
3500	18.4385207000	5295	65.5484030700	33867438	80.1274062900
3510	18.4912021900	4957	61.3641990500	32571515	77.0613654300
3520	18.5438836700	4731	58.5664768500	31914246	75.5063242700
3530	18.5965651600	5486	67.9128497100	34146989	80.7887995900
3540	18.6492466500	5235	64.8056449600	33937365	80.2928474800
3550	18.7019281400	4860	60.1634067800	32079255	75.8967211800
3560	18.7546096300	5425	67.1577123000	34169501	80.8420610200
3570	18.8072911100	5402	66.8729883600	33929758	80.2748499800
3580	18.8599726000	4514	55.8801683500	31165685	73.7352941900
3590	18.9126540900	4746	58.7521663700	31748390	75.1139234300
3600	18.9653355800	4791	59.3092349500	31609235	74.7846948300
3610	19.0180170600	5213	64.5333003200	33988011	80.4126715000
3620	19.0706985500	4979	61.6365436900	32667812	77.2891957400
3630	19.1233800400	5013	62.0574399600	32591076	77.1076450500
3640	19.1760615300	4900	60.6585788500	32101169	75.9485677900
3650	19.2287430100	4901	60.6709581500	32095458	75.9350560700
3660	19.2814245000	4965	61.4632334700	32369558	76.5835527700
3670	19.3341059900	4777	59.1359247300	31756048	75.1320415900
