ID	Species	Length
mOrnAna1	Ornithorhynchus anatinus	16841
bStrHab1	Strigops habroptila	17830
bFalRus1	Falco rusticolus	18488
fSebUmb1	Sebastes umbrosus	17611
mBosTau1	Bos taurus	16339
mPanTro1	Pan troglodytes	16558
mTacAcu1	Tachyglossus aculeatus	16381
bCalAnn1	Calypte anna	18982
bTaeGut1	Taeniopygia guttata	16855
mBalMus1	Balaenoptera musculus	16403
mMyoMyo1	Myotis myotis	17308
fAnaAna1	Anableps anableps	16511
fXenCan1	Xenentodon cancila	16452
fPygNat1	Pygocentrus nattereri	16708
fArcCen1	Archocentrus centrarchus	16663
fMegCyp1	Megalops cyprinoides	17143
fScaArg1	Scatophagus argus	16772
fEsoLuc1	Esox lucius	17081
fAntMac1	Antennarius maculatus	19188
fMelBoe1	Melanotaenia boesemani	16541
fDreSAT1	Danio rerio	16596
fEleEle1	Electrophorus electricus	17309
mChoDid1	Choloepus didactylus	16499
mPipKuh1	Pipistrellus kuhlii	17207
mTamTet1	Tamandua tetradactyla	16394
fCheRos1	Chelmon rostratus	16523
mRhiFer1	Rhinolophus ferrumequinum	16848
bSteHir1	Sterna hirundo	19053
bGalGal1	Gallus gallus	16784
bMerNub1	Merops nubicus	18687
bPogPus1	Pogoniulus pusillus	19935
bCatUst1	Catharus ustulatus	18726
bCorMon1	Corvus moneduloides	16895
bBalReg1	Balearica regulorum	19234
bDryPub1	Picoides pubescens	16842
bMelUnd1	Melopsittacus undulatus	18200
bAcaChl1	Acanthisitta chloris	19029
sCarCar2	Carcharodon carcharias	16745
bCucCan1	Cuculus canorus	19698
bFalNau1	Falco naumanni	17652
bCarCri1	Cariama cristata	21618
fPerMag1	Periophthalmus magnuspinnatus	16496
rLacAgi1	Lacerta agilis	19093
fCycLum1	Cyclopterus lumpus	17282
rDerCor1	Dermochelys coriacea	16625
rGopEvg1	Gopherus evgoodei	16845
bPteGut1	Pterocles gutturalis	24468
rGopFla2	Gopherus flavomarginatus	16501
aDenEbr1	Dendropsophus ebraccatus	19345
fNotCel1	Notolabrus celidotus	16525
mZalCal1	Zalophus californianus	16715
kPetMar1	Petromyzon marinus	16230
mMusErm1	Mustela erminea	16482
mTriVul1	Trichosurus vulpecula	17277
mArvNil1	Arvicanthis niloticus	16269
fHipHip1	Hippoglossus hippoglossus	17607
sPriPec2	Pristis pectinata	16803
mHomSap3	Homo sapiens	16566
mTurTru1	Tursiops truncatus	16389
mLemCat1	Lemur catta	17086
bCygOlo1	Cygnus olor	16733
sAmbRad1	Amblyraja radiata	16785
bAlcTor1	Alca torda	19110
bGeoTri1	Geothlypis trichas	16814
mLynCan4	Lynx canadensis	17044
bHemCom1	Hemiprocne comata	19122
mPhoSin1	Phocoena sinus	16370
bNycGra1	Nyctibius grandis	21413
bTaeGut2	Taeniopygia guttata	16856
bPluApr1	Pluvialis apricaria	20624
mCalJac1	Callithrix jacchus	16489
bCicMag1	Ciconia maguari	21477
mPhyDis1	Phyllostomus discolor	16692
mPipPip1	Pipistrellus pipistrellus	16925
fAnaTes1	Anabas testudineus	17111
bAquChr1	Aquila chrysaetos	18265
fSalTru1	Salmo trutta	16677
eAstRub1	Asterias rubens	16418
fEcheNa1	Echeneis naucrates	16610
fZeuFab1	Zeus faber	16722
fAciRut3	Acipenser ruthenus	16706
aRanTem1	Rana temporaria	22664
fTakRub1	Takifugu rubripes	16448
mSciVul1	Sciurus vulgaris	16511
fMasArm1	Mastacembelus armatus	16490
fTraTra1	Trachurus trachurus	16561
fGouWil2	Gouania willdenowi	19076
fDenClu1	Denticeps clupeoides	16916
fAstCal1	Astatotilapia calliptera	16582
mRatNor1	Rattus norvegicus	16313
fSpaAur1	Sparus aurata	16652
aBufBuf1	Bufo bufo	17865
mSciCar1	Sciurus carolinensis	16533
fParRan2	Parambassis ranga	17024
fErpCal1	Erpetoichthys calabaricus	16619
aRhiBiv1	Rhinatrema bivittatum	16407
fSynAcu1	Syngnathus acus	16454
aGeoSer1	Geotrypetes seraphini	16291
aMicUni1	Microcaecilia unicolor	16008
mLutLut1	Lutra lutra	16536
